PRECID,PFIRM,POFFIC,PACCT,PATYPE,PCUSIP,PCUSP2,PCTYM,PSBCUS,PSTYPE,PSUBTY,PSTYP2,PSTRIK,PEXPDT,PSUBAC,PDEAL,PTDATE,PTPRIC,PBS,PLOC,PBROKR,PSPRED,PTRACE,PICODE,PREFNO,PSWAC1,PSWAP1,PSWAS1,PSWAC2,PSWAP2,PSWAS2,PZONE,PACNTY,PCLASS,PSUBCL,PRR,PRISKG,PMEMBR,PSNAME,PSRCAC,PREFOF,PREFRR,POFFFN,POFFOF,POFFAC,POFFAT,PMPGMN,PSTATA,PSTATB,PSTATC,PSTATD,PSTATE,PSTATF,PSTATG,PSTATH,PSTATJ,PSTATK,PSTAT1,PSTAT2,PSTAT3,PSTAT4,PSTAT5,PSTAT6,PSTAT7,PSTAT8,PSTAT9,PQTEDT,PQTY,PPRTQ,PBUSTQ,PMAKEQ,PLEAVQ,PSEGQ,PTFRQ,PDLVYQ,PDLVYA,PSDSC#,PSDSC1,PSDSC2,PSDSC3,PTDSC#,PTDSC1,PTDSC2,PTDSC3,PMKVAL,PYSTMV,PMULTF,PSDATE,PEXRAT,PRXDAT,PIAD,PYIELD,PDCTCO,PDELTA,PLTDAT,PCTLNO,PPCNTY,PEXCH,PFC,PTYPE,PSYMBL,PPTYPE,PSUBEX,PTRDEX,PMATDT,PPRTPR,PBASIS,PCLOSE,PPRCDT,PPRTCP,PUNDCP,PPRTUC,PPRVCP,PTRPRC,PEXPR,PPRICE,PSPEDT,PTPEDT,PCURSY,PCURCD,PCALC,PCMNT1,PCMNT2,PCMNT3,PLEGND,POMNCD,PRTHT,PSCHDL,POC,PCOD,PUCUSP,PCVTBL,PEXBKR,POPBKR,POPFRM,PGIVIO,PGIVF#,PIEXNG,PIEFRM,PCARD,PORDER,PCHIT,PFEECL,PFEEEX,PCTI,PORDTY,PORDOR,PTIME,PTBKT,PSESSN,PSTINS,PTTYPE,PBARG1,PBARG2,PBARG3,PBARG4,PBARG5,PMTABL,PMINIT,PMVARN,PMUNTL,PMGCNV,PREL1F,PREL1O,PREL1A,PREL1T,PREL2F,PREL2O,PREL2A,PREL2T,PREL3F,PREL3O,PREL3A,PREL3T,PCOMM,PFEE1,PFEE2,PFEE3,PFEE4,PFEE5,PFEE6,PFEE7,PFEE8,PFEE9,PGICHG,PBKCHG,POTHER, PGROSS , PNET ,PMBKOF,PMFLOR,PMORDR,PMWIRE,PMOTHR,PATCOM,PATFE1,PATFE2,PATFE3,PATFE4,PATFE5,PATFE6,PAFE7,PATFE8,PATFE9,PATGIV,PATBKG,PATOTH,PATBKO,PATFLR,PATORD,PATWIR,PATALO,PFDCOM,PFDFE1,PFDFE2,PFDFE3,PFDFE4,PFDFE5,PFDFE6,PFDFE7,PFDFE8,PFDFE9,PFDGIV,PFDBKG,PFDOTH,PFDBKO,PFDFLR,PFDORD,PFDWIR,PFDALO,PFUFE1,PFUFE2,PFUFE3,PFUFE4,PFUFE5,PFUFE6,PFUFE7,PFUFE8,PFUFE9,PFUGIV,PFUBKG,PFUOTH,PFUBKO,PFUFLR,PFUORD,PFUWIR,PFUALO,POVNQ,PDAYQ,PSCRQ,PSPDQ,POVNC,PDAYC,PSCRC,PSPDC,PSORTK,PLEVEL,PBATCH,PRECNO,PCLRID,PINPMO,PINPYR,PFBACC,PORIG,PCABCD,PSCHOV,PPGMID,PSCRID,PUSER,PWSID,PWSTIM,PDEST,PDELET,PXTRCT,PBQTY,PSQTY,PFDAM1,PAMT1,PFDAM2,PAMT2,PROUT1,PROUT2,PROUT3,PCURAC,PCURAT,PCCNTY
"P","P","CLX","60129","US",".GCU0000016I","            ","201609","  ","F"," "," ",.00000000        ,0          ,"          ","       ",20160714   ,46.05000000      ,"2"," ","  "," ","6G14 D0FX0","100","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"SEP 16 NYM LT CRUDE           ","                              ","                              ",1  ,"                              ","                              ","122344                        ",1860.00          ,.00              ,1000.0000000     ,20160714   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0000  ,20160822   ,"          ","US","07","CU"," ","      "," "," ","1G",0          ,"   46.05   ",.00000000  ,44.19000000      ,20160722   ,"   44.19   ",.00000000        ,"           ",44.75000000      ,.00000000        ,"       ","     0004605"," ","C","USD","US"," "," N"," N","  ","  "," ","H","FS"," "," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","RRL8","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,.00              ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.12             ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-.12             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",24279    ,"    181926","9","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",122302   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","CLX","60129","US",".GCU0000016I","            ","201609","  ","F"," "," ",.00000000        ,0          ,"          ","       ",20160714   ,46.19000000      ,"2"," ","  "," ","6G14 DSZE0","100","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"SEP 16 NYM LT CRUDE           ","                              ","                              ",1  ,"                              ","                              ","120247                        ",2000.00          ,.00              ,1000.0000000     ,20160714   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0000  ,20160822   ,"          ","US","07","CU"," ","      "," "," ","1G",0          ,"   46.19   ",.00000000  ,44.19000000      ,20160722   ,"   44.19   ",.00000000        ,"           ",44.75000000      ,.00000000        ,"       ","     0004619"," ","C","USD","US"," "," N"," N","  ","  "," ","H","FS"," "," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","RGLZ","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,.00              ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.12             ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-.12             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",24280    ,"    179382","9","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",120329   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","CLX","60129","US",".GCU0000016I","            ","201609","  ","F"," "," ",.00000000        ,0          ,"          ","       ",20160718   ,45.95000000      ,"2"," ","  "," ","6G18 CHSR0","100","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"SEP 16 NYM LT CRUDE           ","                              ","                              ",1  ,"                              ","                              ","112254                        ",1760.00          ,.00              ,1000.0000000     ,20160718   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0000  ,20160822   ,"          ","US","07","CU"," ","      "," "," ","1G",0          ,"   45.95   ",.00000000  ,44.19000000      ,20160722   ,"   44.19   ",.00000000        ,"           ",44.75000000      ,.00000000        ,"       ","     0004595"," ","C","USD","US"," "," N"," N","  ","  "," ","H","FS"," "," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","BT51","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,.00              ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.12             ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-.12             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",24281    ,"    147589","9","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",112330   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","CLX","60129","US",".GCU0000016I","            ","201609","  ","F"," "," ",.00000000        ,0          ,"          ","       ",20160722   ,44.07000000      ,"2"," ","  "," ","6G22 DUVK0","100","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",2.0000           ,"             2-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"SEP 16 NYM LT CRUDE           ","                              ","                              ",1  ,"                              ","                              ","131616                        ",-240.00          ,.00              ,1000.0000000     ,20160722   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0000  ,20160822   ,"          ","US","07","CU"," ","      "," "," ","1G",0          ,"   44.07   ",.00000000  ,44.19000000      ,20160722   ,"   44.19   ",.00000000        ,"           ",44.07000000      ,.00000000        ,"       ","     0004407"," ","C","USD","US"," "," N"," N","  ","  "," ","H","FS"," "," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","F5T0","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,.00              ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.24             ,.00              ,-2.90            ,-.02             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",2.0000           ,.0000            ,.0000            ,.0000            ,-.24             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<3",24282    ,"    178980","9","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131630   ,"B"," ",0        ,.0000            ,2.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","CLX","60129","US",".GCU0390016U","            ","201609","  ","F","P"," ",39.00000000      ,20160817   ,"          ","       ",20160722   ,.32000000        ,"2"," ","  "," ","6G22 DVGS0","200","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  SEP 16 NYM LT CRUDE  3900","                              ","                              ",1  ,"                              ","                              ","131749                        ",-310.00          ,.00              ,1000.0000000     ,20160722   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.1160  ,20160817   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"     .32   ",.00000000  ,.31000000        ,20160722   ,"     .31   ",44.19000000      ,"           ",.32000000        ,.00000000        ,"0003900","     0000032","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","F6L7","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,10.00            ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.12             ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-.12             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<3",24283    ,"    179675","9","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131839   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","CLX","60129","US",".GCU0415016U","            ","201609","  ","F","P"," ",41.50000000      ,20160817   ,"          ","       ",20160714   ,.61000000        ,"2"," ","  "," ","6G14 ESUP0","200","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  SEP 16 NYM LT CRUDE  4150","                              ","                              ",1  ,"                              ","                              ","135639                        ",-760.00          ,.00              ,1000.0000000     ,20160714   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.2540  ,20160817   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"     .61   ",.00000000  ,.76000000        ,20160722   ,"     .76   ",44.19000000      ,"           ",.61000000        ,.00000000        ,"0004150","     0000061","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","SUMS","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-150.00          ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.12             ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-.12             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",24284    ,"    211528","9","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",135548   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","CLX","60129","US",".GCU0415016U","            ","201609","  ","F","P"," ",41.50000000      ,20160817   ,"          ","       ",20160718   ,.55000000        ,"2"," ","  "," ","6G18 CHYT0","200","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  SEP 16 NYM LT CRUDE  4150","                              ","                              ",1  ,"                              ","                              ","112422                        ",-760.00          ,.00              ,1000.0000000     ,20160718   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.2540  ,20160817   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"     .55   ",.00000000  ,.76000000        ,20160722   ,"     .76   ",44.19000000      ,"           ",.61000000        ,.00000000        ,"0004150","     0000055","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","BTJF","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-210.00          ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.12             ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-.12             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",24285    ,"    147789","9","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",112333   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
